id,predicted_price
1000102,264547.2120198468
3600072,669983.8271008838
3800008,270659.3943748854
6200017,229209.04765608453
7200179,168057.33115356317
7600065,572611.9457384748
11501160,666947.1719438802
11520200,690237.6345316779
11520640,737873.8101300981
13001215,456369.0127380043
16000015,217136.03657732235
16000200,367808.608595284
23500190,469524.6258873034
23520380,373882.27102600125
31000165,1444824.7667721515
34001765,569713.3925510438
40000228,199872.600271823
40000362,213457.73869040038
40000553,265032.9932548782
42000127,287567.62049204996
50300090,512903.91272854066
52000067,351029.3343203732
65000260,759857.7228773914
66000070,231740.62626687362
66000265,347513.69112332957
87000213,254691.4674488795
87000245,167479.2704559804
87000283,349983.0720529101
88000173,437948.736596943
98000060,1605911.6769611316
100100050,266446.6093372963
100300500,317150.1732920557
100600320,162504.00303718974
100600860,236404.96280888817
104500730,195628.48209583707
104510180,295417.95994632423
104510230,278965.88603505463
104510440,280540.64179324073
104540820,214898.98018913963
104550690,259258.69680106363
104560120,259959.64023929765
106000015,314175.05577511457
106000395,269091.377847738
108000127,419603.9644287283
109200390,261335.69961212922
112900020,339047.5691417968
114100234,453903.48655325786
114100763,200127.49252922216
114101426,348754.05299084174
117000100,600333.3500602687
121059007,216012.7252883629
121059038,320625.6014412058
122029066,431434.7456095727
123039147,305313.33140367916
123039207,312385.98235522246
123039279,195102.31737181544
123039346,223115.85851919852
123039364,241045.30873523094
123039570,369993.7002031213
123039633,240999.1151646557
125059179,519948.0910567127
126039252,390837.2256568791
126039323,515548.19027220045
126059225,476115.34809371835
151000075,577528.8991180509
162500015,330480.57720061886
162500030,277669.7785075388
173000025,363501.6846052308
173000036,414529.3257757425
173000140,331527.099121169
179003055,225475.7326325416
185000161,244756.82674537416
191100235,743635.3707060459
194000575,455492.5133588314
200500410,385138.7619931942
200800330,360286.32455653744
203600470,572996.9924218778
203900460,335286.7462806533
205000120,536867.5580588138
207700050,550099.579062424
217500005,416321.00755738997
217500015,303868.52406941133
217500140,531610.5429435524
224069102,419613.5970441148
224069114,582035.7147112458
225039049,522150.3498180035
225039082,801555.846683384
226039186,404496.25470760313
226059065,476910.67296679
226059096,1380761.5108111221
236500050,365925.71948072023
238000244,469436.56875979155
239000115,371731.1470442517
240000130,699047.0908744943
240000269,1548828.751700507
248000240,191476.10055954792
249000180,1527132.5333728923
251200240,379307.5271267835
251300110,363903.69945282367
251500330,1318253.8501255827
253600180,340937.9074191446
254000075,446042.4732785738
